"Artist","Country","Album","Year","Song","Number"
"Blue Öyster Cult","USA","Agents of Fortune",1976,"This Ain’t the Summer of Love",1
"Blue Öyster Cult","USA","Agents of Fortune",1976,"True Confessions",2
"Blue Öyster Cult","USA","Agents of Fortune",1976,"(Don’t Fear) The Reaper",3
"Blue Öyster Cult","USA","Agents of Fortune",1976,"E.T.I. (Extra Terrestrial Intelligence)",4
"Blue Öyster Cult","USA","Agents of Fortune",1976,"The Revenge of Vera Gemini",5
"Blue Öyster Cult","USA","Agents of Fortune",1976,"Sinful Love",6
"Blue Öyster Cult","USA","Agents of Fortune",1976,"Tattoo Vampire",7
"Blue Öyster Cult","USA","Agents of Fortune",1976,"Morning Final",8
"Blue Öyster Cult","USA","Agents of Fortune",1976,"Tenderloin",9
"Blue Öyster Cult","USA","Agents of Fortune",1976,"Debbie Denise",10
"Blue Öyster Cult","USA","Club Ninja",1985,"White Flags",1
"Blue Öyster Cult","USA","Club Ninja",1985,"Dancin' in the Ruins",2
"Blue Öyster Cult","USA","Club Ninja",1985,"Make Rock Not War",3
"Blue Öyster Cult","USA","Club Ninja",1985,"Perfect Water",4
"Blue Öyster Cult","USA","Club Ninja",1985,"Spy in the House of the Night",5
"Blue Öyster Cult","USA","Club Ninja",1985,"Beat 'Em Up",6
"Blue Öyster Cult","USA","Club Ninja",1985,"When the War Comes",7
"Blue Öyster Cult","USA","Club Ninja",1985,"Shadow Warrior",8
"Blue Öyster Cult","USA","Club Ninja",1985,"Madness to the Method",9
"Blue Öyster Cult","USA","Fire of Unknown Origin",1981,"Fire of Unknown Origin",1
"Blue Öyster Cult","USA","Fire of Unknown Origin",1981,"Burnin' for You",2
"Blue Öyster Cult","USA","Fire of Unknown Origin",1981,"Veteran of the Psychic Wars",3
"Blue Öyster Cult","USA","Fire of Unknown Origin",1981,"Sole Survivor",4
"Blue Öyster Cult","USA","Fire of Unknown Origin",1981,"Heavy Metal: The Black and Silver",5
